Id. de grupo,Nombre del grupo,Alias de grupo,Correo electrónico principal del grupo,Descripción,Alias de correo electrónico de grupo,Sincronizado desde el entorno local,Tipo de grupo,Pertenencia dinámica,IsYammerGroup,Privacidad del grupo,Dominio de grupo,Tiene Teams,Fecha de creación,Asignación de roles
bd248d26-3dea-4e01-954c-d5bf2fcebd08,agromar-bc@calconut.es,agromar-bc,agromar-bc@calconut.es,,agromar-bc@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2021-04-23 09:29:23Z,False
926caf1b-fde1-4cf2-8413-66d6eeedda15,Alertas Unifi,alertas-unifi,alertas-unifi@calconut.es,,alertas-unifi@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2021-05-25 11:02:46Z,False
b36b82b8-55ac-4094-8c02-172e5c127055,algoparasalud-bc@calconut.es,algoparasalud-bc,algoparasalud-bc@calconut.es,,algoparasalud-bc@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2021-06-23 07:57:42Z,False
a7742a95-207d-4bd1-a09c-8a9bf01134c9,alimendeshidesp-bc@calconut.es,alimendeshidesp-bc,alimendeshidesp-bc@calconut.es,,alimendeshidesp-bc@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2021-06-23 07:59:04Z,False
cc165a93-fbcf-46ee-9864-740092b9522a,ALMACEN HEALTHY MATRIX,almacenhmw,almacenhmw@healthymatrix.es,,,False,Lista de distribución,False,False,,healthymatrix.es,False,2021-01-14 10:18:09Z,False
a4a94e76-06ac-4de5-a17b-410d512f695a,Almendra Española,almendraespanyola,almendraespanyola@calconut.es,,,False,Lista de distribución,False,False,,calconut.es,False,2020-07-21 06:13:00Z,False
fb7de8bd-f2bf-470b-bea1-39df17a0c6bd,Almendras Lopez,almendraslopez,almendraslopez@calconut.es,,,False,Lista de distribución,False,False,,calconut.es,False,2020-04-22 17:10:49Z,False
8276f615-23ec-4a69-a5a6-147c627b5f31,Asistentes CALCONUT,Asistentes,Asistentes@calconut.es,,Asistentes@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2021-09-27 15:02:50Z,False
52b200c0-f8b2-47d2-85cc-5b07994c07ac,Avisos-ETAs,avisos-etas,avisos-etas@calconut.es,Avisos-ETAs,avisos-etas@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-05-18 07:06:12Z,False
05e6b30a-8ad6-4412-ac6a-20b3c519af59,Avisos fábrica,avisos-fabrica,avisos-fabrica@calconut.es,Correos de alarmas automáticas en temas de fábrica,avisos-fabrica@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-04-26 07:52:51Z,False
300720ce-6a07-4a09-a28b-1f8e8e77702e,Avisos generales,avisos-general,avisos-general@calconut.es,"Correos de alarmas genéricos, no clasificados en otras listas.",avisos-general@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-04-26 07:50:19Z,False
cc914087-88cd-426a-9eab-32e7d9c09046,Avisos SAP,avisos-sap,avisos-sap@calconut.es,Correos de alarmas sobre automatizaciones en SAP,avisos-sap@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-04-26 07:51:32Z,False
bc891687-e7e0-4d3e-8c22-71d76d41ec87,Avisos seguridad,avisos-seguridad,avisos-seguridad@calconut.es,Correos de alarmas generados en forti y relacionados con la ciberseguridad,avisos-seguridad@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-04-26 07:51:06Z,False
c30aef8b-d979-49c3-9e46-8acf0a4b6f36,Avisos stores,avisos-stores,avisos-stores@calconut.es,Correos de alarmas sobre automatizaciones en las stores.,avisos-stores@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-04-26 07:58:36Z,False
ff9fe97a-7b47-421d-bcd9-9dd6dc13d458,Avisos Web,avisos-web,avisos-web@calconut.es,Correos de alarmas sobre automatizaciones webs y apps,avisos-web@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-04-26 07:51:57Z,False
6dfcb15a-57fd-45f2-bf8b-40dc12322c53,baktar-tarim-bc@calconut.es,baktar-tarim-bc,baktar-tarim-bc@calconut.es,,baktar-tarim-bc@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2021-08-05 13:31:14Z,False
1d523e32-9f71-4f05-a234-45255efb0ee7,BIT,bit,bit@calconut.es,,,False,Lista de distribución,False,False,,calconut.es,False,2020-10-02 14:07:47Z,False
671b2e2d-0c4d-4067-ad61-7d69d8ad7557,CAÍDAS WEB,caidas_web,caidas_web@calconut.es,CAÍDAS WEB,caidas_web@PDDEVELOPMENT.onmicrosoft.com,False,Lista de distribución,False,False,,calconut.es,False,2022-01-24 10:32:29Z,False
90cd6024-33c1-44c1-8ebd-54fd64160245,Calconut,info,info@calconut.es,,,False,Lista de distribución,False,False,,calconut.es,False,2012-09-26 09:16:58Z,False
bb542b54-6ff4-46f9-95b6-44db532c0a00,Calconut Perú,calconutperu,calconutperu@calconut.es,,,False,Lista de distribución,False,False,,calconut.es,False,2021-02-25 09:31:40Z,False
